subgenre_name,number_of_appearances,main_genre,brand_id
rock urbano,27,18,2
doom metal,27,25,2
folklore argentino,27,19,2
finnish pop,27,17,2
pinoy hip hop,27,20,2
mahraganat,27,17,2
rap rock,26,18,2
pop soul,26,22,2
j-dance,26,17,2
gnawa,26,21,2
pinoy indie,26,17,2
aussie drill,25,22,2
gujarati pop,25,17,2
tollywood,25,21,2
bongo flava,25,21,2
indie pop,24,17,2
vallenato,24,19,2
black metal,24,25,2
j-r&b,23,22,2
smooth soul,23,22,2
j-rap,23,20,2
rhumba,23,19,2
japanese classical,22,27,2
marathi pop,22,17,2
bangla pop,22,17,2
finnish rock,22,18,2
alternative pop,22,17,2
breakcore,22,20,2
shibuya-kei,21,17,2
chicha,21,19,2
tecnobrega,21,26,2
malaysian pop,21,17,2
iskelmä,21,21,2
tamil dance,20,18,2
acoustic folk,20,28,2
afro adura,20,21,2
southern gospel,19,26,2
kayokyoku,19,17,2
kundiman,19,23,2
brooklyn drill,18,20,2
new york drill,18,20,2
soft pop,18,17,2
sierreño,18,26,2
thai hip hop,18,20,2
tejano,17,19,2
boogie,17,22,2
modern rock,16,18,2
sad sierreño,16,19,2
japanese vgm,15,16,2
malay rap,15,20,2
rage rap,14,20,2
forro tradicional,14,19,2
pentecostal,14,26,2
vocaloid,14,17,2
punta,13,21,2
haryanvi pop,13,17,2
moroccan chaabi,13,21,2
chinese indie,13,17,2
grindcore,13,25,2
bubblegum pop,12,17,2
kannada pop,12,17,2
mexican ska,12,18,2
popular colombian music,12,17,2
anime rap,12,20,2
budots,12,21,2
ethiopian jazz,12,24,2
egyptian hip hop,12,20,2
punk rap,11,18,2
pop,11,17,2
pop rock,11,18,2
vietnamese bolero,11,21,2
asakaa,11,21,2
electropop,11,17,2
sovietwave,11,16,2
latin afrobeat,10,19,2
cumbia norteña,10,19,2
gengetone,10,21,2
egyptian shaabi,10,21,2
indonesian indie,10,18,2
latin dance,9,17,2
thai trap,9,20,2
visual kei,9,17,2
pop urbano,8,17,2
go-go,8,22,2
sandalwood,8,28,2
malayalam pop,8,17,2
finnish hip hop,8,20,2
funkot,8,16,2
thai rock,8,18,2
mollywood,7,17,2
pinoy rock,7,18,2
tamil hip hop,7,20,2
maluku,6,21,2
phleng phuea chiwit,6,30,2
taiwanese indie,6,17,2
chinese rock,6,21,2
singeli,6,20,2
bhojpuri pop,5,17,2
enka,5,21,2
luk thung,5,28,2
thai indie pop,5,17,2
pinoy alternative,5,18,2
tamil indie,5,21,2
dance pop,4,17,2
bhojiwood,4,21,2
southern thai music,4,21,2
huayno,4,19,2
dance,3,16,2
lagu timur,3,21,2
dangdut,3,16,2
algerian chaabi,2,21,2
duranguense,2,19,2
fújì,2,21,2
norteño-sax,2,19,2
malayalam hip hop,1,20,2
bisrock,1,18,2
pop r&b,1,22,2
lagu jawa,1,21,2
pop rap,1,20,2
punto guajiro,1,21,2
latin afrobeats,1,19,2
