artist_name,number_of_appearances,brand_id
Lauv,100,2
The Wanted,100,2
JP Cooper,99,2
BTS,99,2
John Lennon,99,2
Smash Mouth,99,2
Jorja Smith,99,2
Chase & Status,99,2
Jessie Reyez,98,2
Eve,98,2
Olivia Newton-John,98,2
McFly,98,2
Eagles,98,2
The Cure,98,2
Bryson Tiller,97,2
The Kooks,97,2
Van Morrison,97,2
R.E.M.,97,2
Majestic,97,2
Steve Aoki,97,2
Paolo Nutini,96,2
The White Stripes,96,2
Nightcrawlers,96,2
The Pogues,96,2
LMFAO,96,2
LeAnn Rimes,96,2
Imanbek,96,2
Passenger,96,2
Gorillaz,95,2
Ms. Lauryn Hill,95,2
Keri Hilson,95,2
Nile Rodgers,95,2
Dean Martin,95,2
OMI,95,2
John Travolta,95,2
Dave,95,2
Starship,95,2
Jeremih,95,2
Janelle Monáe,95,2
21 Savage,95,2
Nayer,95,2
Hugh Jackman,94,2
The Clash,94,2
Bon Iver,94,2
Anderson .Paak,94,2
The Beach Boys,94,2
Farruko,94,2
Regard,94,2
The Vamps,94,2
A$AP Rocky,94,2
Maren Morris,93,2
Sara Bareilles,93,2
Sigma,93,2
AURORA,93,2
John Mayer,93,2
Survivor,93,2
Oliver Heldens,93,2
Fatboy Slim,93,2
Icona Pop,92,2
Disciples,92,2
Tears For Fears,92,2
Electric Light Orchestra,92,2
Juice WRLD,91,2
Depeche Mode,91,2
Rick Astley,91,2
Wiley,91,2
Nicole Scherzinger,91,2
Muse,91,2
Keane,91,2
Bonnie Tyler,91,2
Nicky Jam,91,2
The Corrs,90,2
The Notorious B.I.G.,90,2
Adam Levine,90,2
Ja Rule,90,2
Gigi D'Agostino,90,2
John Martin,90,2
Aloe Blacc,90,2
Five,90,2
Alanis Morissette,90,2
Kungs,90,2
D-Block Europe,90,2
Scissor Sisters,89,2
Otis Redding,89,2
Kenny Loggins,89,2
Gala,89,2
The Verve,89,2
No Doubt,89,2
Dexys Midnight Runners,89,2
Colby O'Donis,88,2
Gracie Abrams,88,2
24kGoldn,88,2
Tinashe,87,2
SAINt JHN,87,2
Radiohead,87,2
Sting,87,2
Robert Miles,87,2
Run–D.M.C.,87,2
The Ronettes,87,2
Luke Combs,87,2
Of Monsters and Men,87,2
mgk,86,2
Jamie Foxx,86,2
Tracy Chapman,86,2
2 Chainz,86,2
Anitta,86,2
Blur,86,2
Naughty Boy,85,2
Chaka Khan,85,2
Elderbrook,85,2
Don Omar,85,2
Evanescence,85,2
Gucci Mane,85,2
Daya,85,2
Alok,85,2
Robyn,85,2
The Pointer Sisters,85,2
X Ambassadors,84,2
Dan Caplen,84,2
Noah Cyrus,84,2
Sister Sledge,84,2
Carrie Underwood,84,2
Nate Ruess,84,2
Childish Gambino,84,2
Gabry Ponte,84,2
Paul Simon,84,2
Brenda Lee,84,2
Madison Beer,84,2
Lord Huron,84,2
Natalie Imbruglia,84,2
CamelPhat,83,2
Kid Ink,83,2
Stereophonics,83,2
Owl City,83,2
Estelle,83,2
AlunaGeorge,83,2
blackbear,83,2
Seeb,82,2
Fugees,82,2
Culture Club,82,2
Gotye,82,2
SNAP!,82,2
Lou Bega,82,2
Dire Straits,82,2
La Roux,82,2
Alice Deejay,82,2
Kirsty MacColl,82,2
My Chemical Romance,82,2
Ruth B.,81,2
James Morrison,81,2
Example,81,2
DJ Fresh,81,2
The Temptations,81,2
Lukas Graham,81,2
Dyo,81,2
All Saints,80,2
Robin Thicke,80,2
Kimbra,80,2
Billy Ray Cyrus,80,2
Redman,80,2
M.I.A.,80,2
Sonny Fodera,79,2
Portugal. The Man,79,2
Ginuwine,79,2
Wheatus,79,2
Conan Gray,79,2
Steps,79,2
Scouting For Girls,79,2
Ace of Base,79,2
UB40,79,2
Sebastian Yatra,79,2
KSI,79,2
American Authors,79,2
Picture This,78,2
2Pac,78,2
Blackstreet,78,2
Empire Of The Sun,78,2
Jennifer Warnes,78,2
Corona,78,2
AJ Tracey,78,2
Kool & The Gang,78,2
Giveon,78,2
Tammi Terrell,78,2
Jasmine Thompson,77,2
Janet Jackson,77,2
Morgan Wallen,77,2
Purple Disco Machine,77,2
MKTO,77,2
Donna Summer,77,2
Roxette,77,2
Haddaway,77,2
Robin S,77,2
Fat Joe,77,2
Dominic Fike,77,2
Grey,76,2
The Proclaimers,76,2
Billy Ocean,76,2
GAYLE,76,2
Benny Benassi,76,2
Rascal Flatts,76,2
Nick Jonas,76,2
Plain White T's,76,2
GABRIELLE,76,2
Sixpence None The Richer,76,2
The Offspring,75,2
CNCO,75,2
Duran Duran,75,2
Vanessa Carlton,75,2
ATB,75,2
Willy William,75,2
Kacey Musgraves,75,2
Rema,75,2
Dasha,74,2
The Human League,74,2
Scooter,74,2
Nina Simone,74,2
Belinda Carlisle,74,2
Anastacia,74,2
Mr. Probz,74,2
Eiffel 65,74,2
