artist_name,number_of_appearances,brand_id
Sech,66,1
Robyn,65,1
Jessie J,65,1
Steve Lacy,65,1
Diddy,65,1
George Ezra,65,1
WILLOW,65,1
Peso Pluma,65,1
Juicy J,65,1
Benson Boone,65,1
TOTO,64,1
Clairo,64,1
Quevedo,64,1
Ciara,64,1
Fergie,64,1
SAINt JHN,64,1
Little Mix,64,1
Cookin' On 3 Burners,63,1
Jeremih,63,1
Black Coffee,63,1
*NSYNC,63,1
Polo & Pan,63,1
Snow Patrol,63,1
Grimes,63,1
Janet Jackson,63,1
Gunna,63,1
Phoenix,63,1
Avril Lavigne,63,1
John Martin,63,1
Daya,63,1
The Notorious B.I.G.,62,1
Bryson Tiller,62,1
Ray Dalton,62,1
Tyla,62,1
DNCE,62,1
Bronski Beat,61,1
B.o.B,61,1
Pablo Alborán,61,1
Lil Uzi Vert,61,1
Ella Eyre,61,1
Mr. Probz,61,1
Channel Tres,61,1
SYML,61,1
Panic! At The Disco,61,1
Normani,61,1
NATTI NATASHA,61,1
Alphaville,61,1
Justin Quiles,61,1
Juan Luis Guerra 4.40,61,1
ZHU,60,1
RY X,60,1
Etta James,60,1
Khruangbin,60,1
PARTYNEXTDOOR,60,1
ODESZA,60,1
Nate Dogg,60,1
Justice,60,1
James Bay,60,1
Manu Chao,60,1
Don Diablo,60,1
Rick Ross,60,1
The White Stripes,59,1
John Lennon,59,1
Röyksopp,59,1
Gryffin,59,1
Gabry Ponte,59,1
El Alfa,59,1
Kehlani,59,1
Mabel,59,1
Deorro,59,1
Mitski,59,1
Foo Fighters,59,1
Ella Fitzgerald,58,1
The Verve,58,1
Chance the Rapper,58,1
Pedro Capó,58,1
Kyla,58,1
BLACKPINK,58,1
Will Smith,58,1
The Black Keys,58,1
Joji,58,1
Kaskade,58,1
Benny Benassi,58,1
Steve Edwards,58,1
INNA,58,1
Lauv,58,1
Natalia Lafourcade,58,1
Metallica,58,1
Andrea Bocelli,58,1
Arcángel,58,1
Prince Royce,57,1
Dusty Springfield,57,1
INXS,57,1
The Jackson 5,57,1
