artist_name,artist_id,brand_id
Tommy Flanagan - Coleman Hawkins (Tenor Sax),5TVkZEPJIWe7Gmi6cLjOti,1
Jo Jones (Drums),2FBE3YbUmKH6tSPfCw2gtF,1
Peter Washington,6t5ibafOkoWm4GveO6lBzp,1
Lewis Nash,2v2TVDl1P2YDSy9jXntWFt,1
Gene Ammons,338mC0yGyX0C9of8QMJ5hK,1
George Mraz,6o1OpKGBkE7eSYjtaMfQKe,1
Elvin Jones,4dUMhhUjQ2YcNTvab29hYF,1
Roy Haynes Quartet,4Gtcxqk0DjMyqqvYBr1RWX,1
Dusko Goyokovich,1eYvXl0fIObw5c68czhmN0,1
Michele Hendricks,5nYHrOMLF9v5TiyfMxZs59,1
Brian Lynch,2jOWJM2ILZD1NTyORxsduI,1
Robin Eubanks,6NXVcZgtLD70Oey2je4jA5,1
"David ""Fathead"" Newman",5OPNYwuIto3q4ac46rIIZC,1
The J.J. Johnson Quintet,6cn4iY7Nx1BJoZZ9UmJodQ,1
Rodney Jones,6zudeEfsUpQ6R9WW8abFMi,1
Tommy Flanagan Quartet,0KrzAtsrzV661UclOv9otc,1
Dave Pike,64Qwp26Lb2beXJzBs0qBpl,1
Benny Golson,78NDaMzmcDKjt7mkXs7AuG,1
Jimmy Heath Orchestra,4x8GuFt4EeCph7qaEuUHyh,1
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,1
Bennie Wallace,3BM6jep0XGjL04M443AupH,1
Don Byrd,0YjgTLKlLfiaq99C2tbcqh,1
Gigi Gryce,60pVDktf5EH4d3IxkHozpa,1
Jaki Byard,7pZNp3BIssAHQ9jJZssq3Y,1
Johnny Hodges,7lRFrrINQTY35g8hq0kXY5,1
Art Ellefson,5YObuJ82vR61YpcEEB8sBr,1
Paul Chambers Quintet,42ckVhl96fQSAXsR2Gm1My,1
Tal Farlow,0dIXV3ffgWlMcnywNIy0Wf,1
Red Rodney,4tIG3p7d799xi5qJbMddl8,1
Ira Sullivan,4tAgCULCgQOWm2GOc6K3nb,1
Oscar Pettiford,3DuKJapiJ2AUvoIJq1ZJFb,1
Philly Joe Jones,4WhH68K75YKSAwHAqWFpi1,1
Frank Wess,1yy6FH5FQX3RQqxnjMPRBn,1
Slide Hampton and His Orchestra,6L75flsvKq9BCsZlqvT1IQ,1
Milt Jackson Sextet,3WAoe9Q1khAShvQzbQHKOe,1
Joe Henderson,3BG0nwVh3Gc7cuT4XdsLtt,1
Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,1
"Harry ""Sweets"" Edison Quintet",1o5BNceADrkJ70VPmiflXq,1
Les Spann,5G09mW0CtNNy6GsvXefkut,1
Jimmy Hamilton,2DyjqJKeLalliPzVY3jkiO,1
Attila Zoller,50bsdKkUBCPSIAirpRXmEV,1
"Eddie ""Lockjaw"" Davis",0gNn3uUyIEErdQthThI51i,1
山岡未樹&ベニー・ゴルソン,2cntE00YzqOVYiWhXvOB7M,1
Milt Jackson,23i8EixXKG0EWGRCfHlUGN,1
Scott Hamilton,7sBx432MZn1MzHeYHAA5qr,1
Bill Evans Trio,3VEG6gxFIMfl4Cdog26avS,1
Bill Evans,4jXfFzeP66Zy67HM2mvIIF,1
Scott LaFaro,4g7uUySyORXh2KgDEhgxXa,1
Paul Motian,4VIPZJwfn4EGbJxYVHJ0WX,1
Eddie Gómez,6HBVTGmPHytchERPb8YGPr,1
Chet Baker & Bill Evans,0CKzlWvLYSvmVUmKRD64Rm,1
Amelia Evans,2Ndxg70BOniNRzU6KhB72l,1
Ben Robertson,7zL7k6ewoFxM7jCCQN99wo,1
Bob Sedergreen,4VE3n1AoNS38E3AVuBtQ3p,1
Tony Floyd,2IBYq9Wild6n4YBU2h2rVh,1
Jeremy Steig,0ffBb2SCAQzfwrs1PoYSiW,1
Tony Scott & The All Stars,16cSUKPpDNezmx9B3dFQuM,1
Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,1
Marc Johnson,3AT9157jK9F2gMSViMdRUH,1
Joe LaBarbera,6cNZnJFHmf0jFAiXFo1L2F,1
Tony Bennett,2lolQgalUvZDfp5vvVtTYV,1
