subgenre_name,number_of_appearances,brand_id
gothic metal,70,1
sierreño,70,1
funk de bh,70,1
new rave,69,1
melodic metal,69,1
agronejo,69,1
gufeng,69,1
folk rock,68,1
cumbia sonidera,68,1
oyun havasi,68,1
alternative dance,67,1
big beat,67,1
post-grunge,67,1
mollywood,67,1
memphis rap,66,1
tamil hip hop,66,1
nu metal,65,1
freestyle,65,1
tamil indie,65,1
kannada pop,65,1
moroccan chaabi,65,1
folklore argentino,64,1
deathcore,64,1
hip hop,63,1
glam metal,62,1
funk melody,62,1
country rock,61,1
nightcore,61,1
hardcore hip hop,61,1
k-rock,61,1
vietnamese bolero,61,1
chinese rock,61,1
alternative hip hop,60,1
indie rock,59,1
gangster rap,59,1
rock urbano,59,1
electronic rock,59,1
space music,59,1
speedcore,59,1
adult standards,58,1
crunk,58,1
alternative metal,57,1
bachata pop,57,1
death metal,56,1
soft rock,55,1
pentecostal,55,1
gregorian chant,55,1
kundiman,55,1
chilean mambo,55,1
soul blues,54,1
electronica,54,1
industrial metal,54,1
calypso,54,1
red dirt,54,1
ethiopian jazz,54,1
dansband,54,1
chicha,54,1
seresta,53,1
sad sierreño,53,1
electro corridos,53,1
latin,51,1
luk thung,51,1
rock,50,1
newgrass,50,1
melodic rap,50,1
meme rap,50,1
funkot,50,1
bhojpuri pop,50,1
dangdut,50,1
cumbia norteña,49,1
southern rock,48,1
huayno,48,1
gujarati garba,48,1
industrial rock,47,1
singeli,47,1
karadeniz folk,47,1
enka,46,1
heavy metal,46,1
neofolk,45,1
midwest emo,44,1
funk rock,43,1
traditional country,43,1
comedy,43,1
japanese classical,43,1
thai indie pop,43,1
grunge,42,1
texas country,42,1
folk punk,42,1
groove metal,42,1
country blues,41,1
latin afrobeat,41,1
indie pop,41,1
symphonic metal,41,1
tejano,41,1
pinoy rock,41,1
funk pop,40,1
boogie-woogie,40,1
emocore,40,1
arena rock,40,1
melodic death metal,40,1
phleng phuea chiwit,40,1
celtic rock,39,1
easy listening,39,1
polka,39,1
rage rap,39,1
gujarati pop,39,1
pagode baiano,38,1
pinoy alternative,38,1
nz reggae,37,1
power metal,37,1
rock and roll,36,1
electro,36,1
reggae rock,36,1
mexican ska,36,1
sandalwood,36,1
egyptian shaabi,36,1
southern thai music,36,1
alternative rock,35,1
bhojiwood,35,1
tecnobrega,34,1
hyphy,34,1
sea shanties,34,1
black metal,34,1
folk metal,33,1
thrash metal,33,1
grindcore,33,1
popular colombian music,32,1
smooth r&b,32,1
dark cabaret,31,1
emo pop,31,1
speed metal,31,1
psychobilly,30,1
bounce,29,1
acoustic country,29,1
sholawat,29,1
rap,28,1
smooth soul,28,1
maluku,28,1
honky tonk,27,1
punk rap,27,1
christian country,27,1
rap rock,27,1
alternative pop,27,1
sertanejo tradicional,27,1
malayalam hip hop,26,1
new york drill,26,1
aussie drill,26,1
acoustic rock,25,1
pop soul,23,1
nerdcore,23,1
electropop,23,1
budots,23,1
country hip hop,22,1
bubblegum pop,22,1
pop country,21,1
brooklyn drill,20,1
pirate metal,20,1
lagu timur,20,1
bisrock,19,1
soft pop,18,1
boogie,18,1
latin dance,17,1
modern rock,17,1
go-go,17,1
anime rap,17,1
japanese vgm,17,1
visual kei,15,1
medieval metal,15,1
acoustic folk,14,1
forro tradicional,14,1
punta,14,1
duranguense,14,1
norteño-sax,14,1
lagu jawa,14,1
pop rock,13,1
fújì,13,1
thai indie rock,12,1
pop,11,1
pop urbano,10,1
algerian chaabi,7,1
southern gospel,6,1
batak,5,1
pop r&b,5,1
dance pop,4,1
dance,3,1
punto guajiro,1,1
pop rap,1,1
latin afrobeats,1,1
