subgenre_name,number_of_appearances,main_genre,brand_id
música mexicana,109,4,1
electro house,108,1,1
vaporwave,108,2,1
medieval,108,10,1
skate punk,107,9,1
britpop,106,2,1
indie,106,2,1
ska punk,106,13,1
psychedelic pop,106,2,1
rockabilly,105,3,1
proto-punk,104,3,1
malaysian pop,104,2,1
psytrance,103,1,1
harana,103,13,1
swedish ballads,102,3,1
arrocha,102,12,1
forró,102,4,1
reggae en español,102,4,1
brega funk,102,2,1
soul jazz,101,8,1
electronic,101,1,1
mambo,101,4,1
mexican hip hop,100,5,1
album rock,100,3,1
noise rock,99,3,1
breakcore,99,5,1
jazz blues,98,15,1
turreo,98,1,1
cha cha cha,98,4,1
miami bass,98,5,1
hands up,98,2,1
new jack swing,97,7,1
sertanejo universitário,97,4,1
spoken word,97,5,1
mariachi,97,4,1
ranchera,97,4,1
mahraganat,97,2,1
traditional music,96,6,1
dansktop,96,12,1
frenchcore,95,9,1
neoperreo,95,1,1
afro adura,94,6,1
champeta,93,4,1
emo,93,3,1
rave,93,1,1
piseiro,93,12,1
asakaa,92,6,1
art rock,91,3,1
nueva trova,91,4,1
krautrock,90,3,1
progressive metal,90,9,1
bangla pop,90,2,1
egyptian hip hop,90,5,1
hip house,89,1,1
corridos bélicos,89,4,1
disco polo,89,2,1
axé,88,4,1
grupera,88,4,1
indie r&b,86,7,1
experimental hip hop,86,5,1
europop,86,2,1
roots rock,85,3,1
acid rock,85,3,1
r&b,85,7,1
deathstep,85,1,1
glam rock,84,3,1
melodic hardcore,84,9,1
thai rock,84,3,1
djent,84,9,1
reggaeton chileno,83,4,1
argentine trap,82,5,1
math rock,81,3,1
christian alternative rock,81,3,1
malayalam pop,80,2,1
thai trap,80,5,1
new beat,79,2,1
corridos tumbados,79,4,1
acoustic pop,78,2,1
cuarteto,78,4,1
bluegrass,77,12,1
indorock,77,3,1
african gospel,77,6,1
classic rock,76,3,1
drumstep,76,1,1
symphonic rock,75,3,1
rap metal,75,9,1
deathrock,75,3,1
screamo,75,9,1
chilean trap,75,5,1
funk consciente,75,4,1
madchester,74,3,1
urbano latino,74,4,1
neue deutsche welle,73,3,1
hard rock,72,3,1
philly soul,72,7,1
malay rap,72,5,1
sovietwave,71,1,1
christian rock,70,3,1
classic blues,70,15,1
christian folk,70,12,1
gothic metal,70,9,1
sierreño,70,12,1
funk de bh,70,1,1
new rave,69,3,1
melodic metal,69,9,1
agronejo,69,12,1
gufeng,69,6,1
folk rock,68,3,1
cumbia sonidera,68,4,1
oyun havasi,68,2,1
alternative dance,67,3,1
big beat,67,1,1
post-grunge,67,9,1
mollywood,67,2,1
memphis rap,66,5,1
tamil hip hop,66,5,1
nu metal,65,9,1
freestyle,65,5,1
tamil indie,65,6,1
kannada pop,65,2,1
moroccan chaabi,65,6,1
folklore argentino,64,4,1
deathcore,64,9,1
hip hop,63,5,1
glam metal,62,9,1
funk melody,62,12,1
country rock,61,3,1
nightcore,61,2,1
hardcore hip hop,61,5,1
k-rock,61,3,1
vietnamese bolero,61,6,1
chinese rock,61,6,1
alternative hip hop,60,5,1
indie rock,59,3,1
gangster rap,59,5,1
rock urbano,59,3,1
electronic rock,59,3,1
space music,59,1,1
speedcore,59,1,1
adult standards,58,11,1
crunk,58,5,1
alternative metal,57,9,1
bachata pop,57,4,1
death metal,56,9,1
soft rock,55,3,1
pentecostal,55,12,1
gregorian chant,55,10,1
kundiman,55,11,1
chilean mambo,55,6,1
soul blues,54,15,1
electronica,54,1,1
industrial metal,54,9,1
calypso,54,11,1
red dirt,54,12,1
ethiopian jazz,54,8,1
dansband,54,2,1
chicha,54,4,1
seresta,53,13,1
sad sierreño,53,4,1
electro corridos,53,1,1
latin,51,4,1
luk thung,51,13,1
rock,50,3,1
