artist_name,number_of_appearances,brand_id
TOTO,64,10
Clairo,64,10
Quevedo,64,10
Ciara,64,10
Fergie,64,10
SAINt JHN,64,10
Little Mix,64,10
Cookin' On 3 Burners,63,10
Jeremih,63,10
Black Coffee,63,10
*NSYNC,63,10
Polo & Pan,63,10
Snow Patrol,63,10
Grimes,63,10
Janet Jackson,63,10
Gunna,63,10
Phoenix,63,10
Avril Lavigne,63,10
John Martin,63,10
Daya,63,10
The Notorious B.I.G.,62,10
Bryson Tiller,62,10
Ray Dalton,62,10
Tyla,62,10
DNCE,62,10
Bronski Beat,61,10
B.o.B,61,10
Pablo Alborán,61,10
Lil Uzi Vert,61,10
Ella Eyre,61,10
Mr. Probz,61,10
Channel Tres,61,10
SYML,61,10
Panic! At The Disco,61,10
Normani,61,10
NATTI NATASHA,61,10
Alphaville,61,10
Justin Quiles,61,10
Juan Luis Guerra 4.40,61,10
ZHU,60,10
RY X,60,10
Etta James,60,10
Khruangbin,60,10
PARTYNEXTDOOR,60,10
ODESZA,60,10
Nate Dogg,60,10
Justice,60,10
James Bay,60,10
Manu Chao,60,10
Don Diablo,60,10
Rick Ross,60,10
The White Stripes,59,10
John Lennon,59,10
Röyksopp,59,10
Gryffin,59,10
Gabry Ponte,59,10
El Alfa,59,10
Kehlani,59,10
Mabel,59,10
Deorro,59,10
Mitski,59,10
Foo Fighters,59,10
Ella Fitzgerald,58,10
The Verve,58,10
Chance the Rapper,58,10
Pedro Capó,58,10
Kyla,58,10
BLACKPINK,58,10
Will Smith,58,10
The Black Keys,58,10
Joji,58,10
Kaskade,58,10
Benny Benassi,58,10
Steve Edwards,58,10
INNA,58,10
Lauv,58,10
Natalia Lafourcade,58,10
Metallica,58,10
Andrea Bocelli,58,10
Arcángel,58,10
Prince Royce,57,10
Dusty Springfield,57,10
INXS,57,10
The Jackson 5,57,10
Metronomy,57,10
JP Cooper,57,10
HAIM,57,10
Tory Lanez,57,10
Lil Yachty,57,10
Juice WRLD,57,10
Luis Miguel,57,10
Bradley Cooper,57,10
Led Zeppelin,56,10
Antônio Carlos Jobim,56,10
Chet Faker,56,10
Otis Redding,56,10
Maná,56,10
Chris Isaak,56,10
Iggy Azalea,56,10
Jessie Ware,56,10
Tracy Chapman,56,10
Summer Walker,56,10
Van Morrison,56,10
Martin Solveig,56,10
5 Seconds of Summer,56,10
Fifth Harmony,56,10
Juanes,56,10
Shania Twain,56,10
Olivia Newton-John,56,10
Lil' Kim,56,10
Disney,56,10
Amber Mark,55,10
CYRIL,55,10
Massive Attack,55,10
Yeah Yeah Yeahs,55,10
Seal,55,10
Snakehips,55,10
The Script,55,10
JID,55,10
Måneskin,55,10
Niall Horan,55,10
WALK THE MOON,55,10
Central Cee,55,10
James Hype,55,10
Creedence Clearwater Revival,55,10
A7S,55,10
Gracie Abrams,55,10
Cris Mj,55,10
Juan Magán,55,10
Poolside,54,10
Sister Sledge,54,10
Bonobo,54,10
NATHY PELUSO,54,10
Christina Perri,54,10
Four Tet,54,10
Disciples,54,10
Sean Kingston,54,10
Latto,54,10
Descemer Bueno,54,10
Funk Wav,54,10
Dolly Parton,54,10
Belinda,54,10
Lord Huron,54,10
Ofenbach,54,10
Chencho Corleone,54,10
ROSÉ,54,10
Lionel Richie,54,10
Natalie Imbruglia,54,10
The Doors,53,10
Majid Jordan,53,10
AlunaGeorge,53,10
Brenda Lee,53,10
Sinéad O'Connor,53,10
Romy,53,10
Robin Thicke,53,10
Janelle Monáe,53,10
Passenger,53,10
Capital Cities,53,10
Dean Lewis,53,10
Jack Johnson,53,10
Lily Allen,53,10
Aluna,53,10
Ayra Starr,53,10
Dimitri Vegas,53,10
Morat,53,10
Journey,53,10
De La Ghetto,53,10
The Clash,53,10
Lilly Wood and The Prick,52,10
Beach House,52,10
Jhené Aiko,52,10
Ace of Base,52,10
Jain,52,10
Nightcrawlers,52,10
Roxette,52,10
Angèle,52,10
Aqua,52,10
Cedric Gervais,52,10
No Doubt,51,10
Portishead,51,10
The Pussycat Dolls,51,10
ScHoolboy Q,51,10
Mac DeMarco,51,10
Maverick Sabre,51,10
Mazzy Star,51,10
Rampa,51,10
Estelle,51,10
blink-182,51,10
Corinne Bailey Rae,51,10
Sonny Fodera,51,10
Elvis Crespo,51,10
Eric Prydz,51,10
Mau y Ricky,51,10
Stefflon Don,51,10
Eric Clapton,51,10
Tammi Terrell,51,10
Sofía Reyes,51,10
Gloria Gaynor,50,10
João Gilberto,50,10
Everything But The Girl,50,10
The Ronettes,50,10
Colbie Caillat,50,10
Roosevelt,50,10
Simply Red,50,10
MAGIC!,50,10
Simple Minds,50,10
Nas,50,10
The Chemical Brothers,50,10
Coolio,50,10
Paramore,50,10
The Marías,50,10
Coi Leray,50,10
Dominic Fike,50,10
JENNIE,50,10
The Pointer Sisters,50,10
Stryv,50,10
Dom Dolla,50,10
Deepend,50,10
Willy William,50,10
Darell,50,10
Franz Ferdinand,50,10
Eagles,49,10
Fugees,49,10
Nora En Pure,49,10
Aloe Blacc,49,10
Ovy On The Drums,49,10
Roy Orbison,49,10
Dillon Francis,49,10
Flight Facilities,49,10
Foals,49,10
Bipolar Sunshine,49,10
FKJ,49,10
AURORA,49,10
Moloko,49,10
XXXTENTACION,49,10
Dermot Kennedy,49,10
Crystal Waters,49,10
Royal Philharmonic Orchestra,49,10
David Bisbal,49,10
