subgenre_name,number_of_appearances,main_genre,brand_id
nightcore,61,2,10
hardcore hip hop,61,5,10
k-rock,61,3,10
vietnamese bolero,61,6,10
chinese rock,61,6,10
alternative hip hop,60,5,10
indie rock,59,3,10
gangster rap,59,5,10
rock urbano,59,3,10
electronic rock,59,3,10
space music,59,1,10
speedcore,59,1,10
adult standards,58,11,10
crunk,58,5,10
alternative metal,57,9,10
bachata pop,57,4,10
death metal,56,9,10
soft rock,55,3,10
pentecostal,55,12,10
gregorian chant,55,10,10
kundiman,55,11,10
chilean mambo,55,6,10
soul blues,54,15,10
electronica,54,1,10
industrial metal,54,9,10
calypso,54,11,10
red dirt,54,12,10
ethiopian jazz,54,8,10
dansband,54,2,10
chicha,54,4,10
seresta,53,13,10
sad sierreño,53,4,10
electro corridos,53,1,10
latin,51,4,10
luk thung,51,13,10
rock,50,3,10
newgrass,50,13,10
melodic rap,50,5,10
meme rap,50,5,10
funkot,50,1,10
bhojpuri pop,50,2,10
dangdut,50,1,10
cumbia norteña,49,4,10
southern rock,48,3,10
huayno,48,4,10
gujarati garba,48,6,10
industrial rock,47,3,10
singeli,47,5,10
karadeniz folk,47,13,10
enka,46,6,10
heavy metal,46,9,10
neofolk,45,13,10
midwest emo,44,3,10
funk rock,43,3,10
traditional country,43,12,10
comedy,43,12,10
japanese classical,43,10,10
thai indie pop,43,2,10
grunge,42,3,10
texas country,42,12,10
folk punk,42,13,10
groove metal,42,9,10
country blues,41,15,10
latin afrobeat,41,4,10
indie pop,41,2,10
symphonic metal,41,9,10
tejano,41,4,10
pinoy rock,41,3,10
funk pop,40,2,10
boogie-woogie,40,15,10
emocore,40,3,10
arena rock,40,3,10
melodic death metal,40,9,10
phleng phuea chiwit,40,14,10
celtic rock,39,3,10
easy listening,39,11,10
polka,39,11,10
rage rap,39,5,10
gujarati pop,39,2,10
pagode baiano,38,4,10
pinoy alternative,38,3,10
nz reggae,37,8,10
power metal,37,9,10
rock and roll,36,3,10
electro,36,5,10
reggae rock,36,3,10
mexican ska,36,3,10
sandalwood,36,13,10
egyptian shaabi,36,6,10
southern thai music,36,6,10
alternative rock,35,3,10
bhojiwood,35,6,10
tecnobrega,34,12,10
hyphy,34,5,10
sea shanties,34,11,10
black metal,34,9,10
folk metal,33,9,10
thrash metal,33,9,10
grindcore,33,9,10
popular colombian music,32,2,10
smooth r&b,32,7,10
dark cabaret,31,13,10
emo pop,31,2,10
speed metal,31,9,10
psychobilly,30,3,10
bounce,29,5,10
acoustic country,29,12,10
sholawat,29,7,10
rap,28,5,10
smooth soul,28,7,10
maluku,28,6,10
honky tonk,27,3,10
punk rap,27,3,10
christian country,27,12,10
rap rock,27,3,10
alternative pop,27,2,10
sertanejo tradicional,27,12,10
malayalam hip hop,26,5,10
new york drill,26,5,10
aussie drill,26,7,10
acoustic rock,25,3,10
pop soul,23,7,10
nerdcore,23,5,10
electropop,23,2,10
budots,23,6,10
country hip hop,22,5,10
bubblegum pop,22,2,10
pop country,21,12,10
brooklyn drill,20,5,10
pirate metal,20,9,10
lagu timur,20,6,10
bisrock,19,3,10
soft pop,18,2,10
boogie,18,7,10
latin dance,17,2,10
modern rock,17,3,10
go-go,17,7,10
anime rap,17,5,10
japanese vgm,17,1,10
visual kei,15,2,10
medieval metal,15,9,10
acoustic folk,14,13,10
forro tradicional,14,4,10
punta,14,6,10
duranguense,14,4,10
norteño-sax,14,4,10
lagu jawa,14,6,10
pop rock,13,3,10
fújì,13,6,10
thai indie rock,12,3,10
pop,11,2,10
pop urbano,10,2,10
algerian chaabi,7,6,10
southern gospel,6,12,10
batak,5,14,10
pop r&b,5,7,10
dance pop,4,2,10
dance,3,1,10
punto guajiro,1,6,10
pop rap,1,5,10
latin afrobeats,1,4,10
